Customer ID,Age,income_usd,credit Score,tenure_years,monthly_visits,satisfaction,City,customer_segment,gender,is_active,churn_flag,signup_date,lead_source,notes_text
CUST-01861,45.86741673,28198.41033,660.5629176,5.274075871,5,3.382150316,Pune,consumer,,Yes,No,2026-03-11,Referral,N/A
CUST-00354,47.76516428,61312.83129,838 pts,5.632826026,9,,Hyderabad,Consumer,Male,,No,,website,follow-up needed
CUST-01334,,44199.67124,613.1327754,,8,4.195156889,Mumbai,Consumer,m,Yes,No,2024-09-20,Email,
CUST-00906,62.72357805,56259.90961,720.2369862,2.029634404,4,,Chennai,Enterprise,m,N,No,2023-07-12,Website,normal
CUST-01290,,31238.64196,549.1832523,2.648625928,5,3.117325915,Mumbai,Enterprise,Male,Yes,No,2024-08-06,,???
CUST-01274,,"$44,696",,1.700044102,12,,Bengaluru,SMB,Male,Yes,Yes,21/07/2024,,follow-up needed
CUST-00939,49.28347358,44108.07925,793.2135773,10.07782041,7,3.872187493,Kolkata,Consumer,,yes,Yes,2023-08-14,google_ads,
CUST-01732,37.63000983,80888.86264,850,4.489812627,11,,Pune,,Female,N,No,,,good customer
CUST-00066,47.52016682,50011.55556,796.794099,9.074520405,4,3.694925177,Pune,SMB.,m,No,,2021-03-08,Social,
CUST-01324,,84410.30824,482.3950729,6.82062859,3,2.636944655,Mumbai,Consumer,M,no,No,2024-09-10,Website,normal
CUST-00057,,"$41,941",564.1603365,2.797453199,9,3.616870275,Chennai,Enterprise,M,N,Yes,2021-02-27,,complaint!!!
CUST-01293,,,744.4081339,6.966279048,1,3.990251824,Bengaluru,SMB,F,Y,No,09/08/2024,Website,???
CUST-01119,42.22441366,34954.99191,,4.748654696,,1.49262653,Kolkata,SMB,Male,1,No,2024-02-14,,normal
CUST-00585,,,,2.786553533,8,,Mumbai,SMB,m,Yes,No,19/08/2022,referral,???
CUST-00375,,45252.12673,823.0997611,3.461954425,4,4.026636765,Delhi,Consumer,M,,No,,,ok
CUST-00276,N/A,10198.63878,686.2926234,2.082104972,3,2.368237738,Pune,Consumer,m,Yes,Yes,2021-10-08,Unknown,N/A
CUST-00747,59.57113427,97774.31584,649.7892751,2.256616983,8,3.49373088,Hyderabad,SMB.,M,Yes,No,,Unknown,normal
CUST-00129,30.32298161,69379.54932,563.4475401,6.515850325,5,2.914985105,Bengaluru,Consumer,m,N,No,2021-05-11,email,VIP
CUST-01647,36.56997395,,795.7311323,12.14965835,6,,Pune,,m,1,No,2025-08-05,website,normal
CUST-01853,34.40794511,,691.0740367,3.709531332,5,3.596290893,,Consumer,Male,Y,No,2026-03-03,,complaint!!!
CUST-00675,48.02969476,48208.90475,669.9106588,9.535978174,2,3.586321584,Pune,Enterprise,Male,1,No,2022-11-18,email,urgent
CUST-01665,52.29667568,50122.48768,748.9474797,,,3.945759582,,,m,N,No,2025-08-23,Website,good
CUST-01982,31.3 years,47785.93491,721.5363384,12.49129807,3,3.447499536,Delhi,,M,1,No,2026-07-12,Social,
CUST-01084,38.7429978,41264.65605,,13.65340242,3,3.775831263,Pune,,f,Yes,No,2024-01-09,Google Ads,
CUST-01923,,,,6.988777163,7,5,Mumbai,Enterprise,,yes,No,,email,
CUST-00100,,128541.8145,645.5851154,1.00815029,6,4.627119211,Delhi,SMB,m,,No,2021-04-11,,late payment
CUST-01180,43.0 years,67785.34355,,7.218326287,5,4.154067511,Delhi,Enterprise,f,No,Yes,2024-04-16,,follow-up needed
CUST-00965,,,548.3340744,6.916202905,3,4.087268427,,Consumer,,Y,No,2023-09-10,google_ads,VIP
CUST-00793,44.13466177,,754.2240227,,6,4.452126308,Bengaluru,Consumer,f,Yes,,,Social,normal
CUST-00030,43.2 years,42283.10103,725.8505442,-999,5,3.391059505,Hyderabad,Enterprise,F,No,No,2021-01-30,,urgent
CUST-00629,25.51296737,35096.34299,744.3065994,,2,,Pune,Consumer,Male,No,No,02/10/2022,google_ads,follow-up needed
CUST-00945,41.47230988,51145.65375,753.7103322,5.298575568,8,2.732868177,Chennai,Consumer,m,Y,No,,Referral,follow-up needed
CUST-00573,41.14442974,"$123,682",652.8556279,,5,2.945332192,Chennai,SMB,Female,No,No,2022-08-06,Website,good
CUST-00908,22.67580266,55609.48027,534.9963039,2.487143587,2,5,,Enterprise,F,Yes,No,2023-07-14,google_ads,
CUST-01081,40.92502976,42555.28725,680.9735195,0.5738733806,5,,Bengaluru,Consumer,F,No,Yes,2024-01-06,website,VIP
CUST-00451,,"$40,978",679.6995819,5.482175851,5,4.63327597,Mumbai,SMB,m,Yes,No,2022-04-04,Google Ads,???
CUST-01610,33.39438889,53835.47659,765.3161321,3.386489755,5,4.137356518,Mumbai,SMB,f,N,,2025-06-28,,
