Customer ID,Order Date,City,Product Category,Customer Segment,Gender,Sales Channel,Age,Units Sold,Unit Price,Discount %,Customer Rating,Is Active,Returned,Payment Method,Gross Sales,Discount Amount,Revenue,Cost,Profit
CUST00594,2025-05-05 0:00:00,Mumbai,Clothing,premium,Male,Retail,36,8,24235.73,22.91,1.9,1,0,UPI,193885.84,44419.25,149466.59,88698.45,60768.14
CUST01103,2025-10-22 0:00:00,Mumbai,Clothing,Premium,Female,Corporate,38,5,16789.55,10.59,4.3,1,0,Cash,83947.75,8890.07,75057.68,61426.31,13631.37
CUST00690,2025-04-24 0:00:00,Delhi,Home & Kitchen,Regular,Male,Retail,65,2,24579.97,36.22,4.5,1,0,Debit Card,49159.94,17805.73,31354.21,24948.21,6406
CUST00215,2025-05-17 0:00:00,Chennai,Electronics,Regular,Male,Corporate,34,9,6240.13,20.44,3.9,1,0,Net Banking,56161.17,11479.34,,26470.33,18211.5
CUST01270,2025-08-30 0:00:00,Delhi,Clothing,Budget,Female,Corporate,41,1,23491.23,10.48,3.7,1,0,Net Banking,23491.23,2461.88,21029.35,12312.38,8716.97
CUST00848,2025-06-03 0:00:00,Hyderabad,Electronics,Regular,Male,Corporate,49,8,1808.3,38.1,2.1,1,0,UPI,14466.4,5511.7,8954.7,5812.34,3142.36
CUST00150,2025-07-26 0:00:00,Delhi,Home & Kitchen,Premium,Male,Online,29,10,28497.86,11.54,2.1,1,1,Debit Card,284978.6,32886.53,252092.07,157266.39,94825.68
CUST01115,2025-03-10 0:00:00,Pune,home & kitchen,Budget,Female,Corporate,46,12,23023.33,9.16,3.5,1,0,Debit Card,276279.96,25307.24,250972.72,182977.99,67994.73
CUST00927,2025-03-22 0:00:00,Mumbai,Clothing,Regular,Female,Retail,61,12,250000,35.94,1.6,1,1,Net Banking,213087.24,76583.55,136503.69,92634.53,43869.16
CUST00686,2025-05-14 0:00:00,Bengaluru,Electronics,Regular,Male,Online,25,1,18649.79,7.74,1.9,1,0,Credit Card,18649.79,1443.49,17206.3,13130.58,4075.72
CUST01437,2025-04-25 0:00:00,Bengaluru,Clothing,Premium,Male,Corporate,21,12,16776.33,27.33,2.3,1,0,Net Banking,201315.96,55019.65,146296.31,80715.03,65581.28
